model,n_qubits,depth,grad_var_mean,grad_var_std
B5-ResQNet,6,4,0.0005836739601213755,0.00030368202921091315
B5-ResQNet,6,5,0.0005259388849918547,0.00012489681913522508
B5-ResQNet,6,10,0.00020791797499400408,3.87728427740449e-05
B5-ResQNet,6,15,0.000620702081609063,0.0001366446630758456
B5-ResQNet,6,20,0.00031375586031780846,6.947934010928339e-05
B5-ResQNet,6,25,0.00037043913460420167,0.00013905077982806125
B5-ResQNet,8,1,0.019647218707033495,0.005643297346652615
B5-ResQNet,8,2,0.0003228401765229852,0.0002413020211316455
B5-ResQNet,8,3,0.00018575265999453444,0.00013137940361801734
B5-ResQNet,8,4,3.278035993976536e-05,8.699178541728864e-06
B5-ResQNet,8,5,3.504849225758295e-05,1.4601347637099754e-06
B5-ResQNet,8,10,3.166810013348506e-05,1.4307464569104449e-05
B5-ResQNet,8,15,2.0520418369747415e-05,8.823861994079883e-06
B5-ResQNet,8,20,2.4639474362987986e-05,5.115396886082787e-06
B5-ResQNet,8,25,2.440331396931304e-05,6.672078256263104e-06
B5-ResQNet,10,1,0.012421989715163754,0.002532232764358901
B5-ResQNet,10,2,4.878595973371695e-05,2.377398302390905e-05
B5-ResQNet,10,3,1.014338083562449e-05,9.30078390783104e-06
B5-ResQNet,10,4,3.2644981436817073e-06,1.6203279108391382e-06
B5-ResQNet,10,5,2.2627054863731114e-06,6.689382617965936e-07
B5-ResQNet,10,10,1.8194143327683986e-06,5.064786142896716e-07
B5-ResQNet,10,15,1.7062161328723204e-06,5.054770324096203e-07
B5-ResQNet,10,20,2.11038748820932e-06,9.584105523863234e-07
B5-ResQNet,10,25,1.55282670643949e-06,3.8621343729284485e-07
B5-ResQNet,12,1,0.011683766825287953,0.004643689666029488
B5-ResQNet,12,2,0.0002951217724666757,0.000290477624909564
B5-ResQNet,12,3,2.8534423243217808e-05,2.017130037688441e-05
B5-ResQNet,12,4,3.676914657476079e-07,2.4799658902679203e-07
B5-ResQNet,12,5,3.523293735745832e-06,4.565862125757806e-06
B5-ResQNet,12,10,4.86656418016136e-08,2.7896565242550775e-08
B5-ResQNet,12,15,1.764280124306458e-07,1.1629448580605992e-07
B5-ResQNet,12,20,1.3652758357502246e-07,6.6371045517973e-08
B5-ResQNet,12,25,7.13378293995014e-08,1.523231698441867e-08
B5-ResQNet,14,1,0.014041929207959436,0.011031518323050157
B5-ResQNet,14,2,0.0010322931836595918,0.0007118768845144872
B5-ResQNet,14,3,2.4721250355054595e-05,1.3448552404619281e-05
B5-ResQNet,14,4,1.13786017071722e-06,1.037599776901911e-06
B5-ResQNet,14,5,1.4197504249875647e-07,1.5003165003114e-07
B5-ResQNet,14,10,7.2826415460056785e-09,1.5595126117570199e-09
B5-ResQNet,14,15,9.553847376067858e-09,3.1365502392902585e-09
B5-ResQNet,14,20,3.431571721820013e-09,3.507478943018519e-10
B5-ResQNet,14,25,5.9464716321588075e-09,1.5302448009484715e-09
B5-ResQNet,18,1,0.012430541186964314,0.00516922136098746
B5-ResQNet,18,2,0.00024567075259201364,0.00022101647714630086
B5-ResQNet,18,3,8.958757248705394e-06,7.870021096721523e-06
B5-ResQNet,18,4,2.4908304462357018e-05,3.4166822082436255e-05
B5-ResQNet,18,5,7.323959250501963e-07,4.4988246744526045e-07
B5-ResQNet,18,10,5.3421761570958436e-11,2.4765091040435692e-11
B5-ResQNet,18,15,2.097219200242277e-11,7.660936827575362e-12
B5-ResQNet,18,20,2.288700171529786e-11,7.580342777658324e-12
B5-ResQNet,18,25,2.300146753695703e-11,9.847234899834422e-12
B6-Global,2,1,0.1398706745431667,0.038043439008219736
B6-Global,2,2,0.0610841879022175,0.009424580624961676
B6-Global,2,3,0.07150817963615953,0.012791526714232287
B6-Global,2,4,0.0638387046518179,0.015562045260323919
B6-Global,2,5,0.05048416533292232,0.026492251540237734
B6-Global,2,10,0.04991401560876944,0.01009466044246015
B6-Global,2,15,0.04838272835568436,0.003939472401784051
B6-Global,2,20,0.06721353185780983,0.015481512530251295
