model,init_strategy,seed,gradient
B3-Layer,narrow,2,-0.0021186242258144335
B3-Layer,narrow,3,0.0011863532701626755
B3-Layer,narrow,4,0.02221712513126998
B3-Layer,narrow,5,0.004622454854733241
B3-Layer,narrow,6,0.0530714124593265
B3-Layer,narrow,7,-0.05902966884910491
B3-Layer,narrow,8,-0.04626867738267868
B3-Layer,narrow,9,0.04799464761145487
B3-Layer,narrow,10,-0.04221910694019061
B3-Layer,narrow,11,0.022964492326578493
B3-Layer,narrow,12,0.0717513762812564
B3-Layer,narrow,13,-0.00757095901970323
B3-Layer,narrow,14,-0.025753380971971107
B3-Layer,narrow,15,-0.023463021518395393
B3-Layer,narrow,16,-0.019768442461945906
B3-Layer,narrow,17,0.05961406134701463
B3-Layer,narrow,18,-0.0006368298952614029
B3-Layer,narrow,19,-0.013722146790235517
B3-Layer,narrow,20,0.066751825047933
B3-Layer,narrow,21,-0.0025280820660029337
B3-Layer,narrow,22,0.07577065054362844
B3-Layer,narrow,23,-0.06500795783536702
B3-Layer,narrow,24,0.0019191320875451107
B3-Layer,identity,0,0.015472706493111287
B3-Layer,identity,1,0.08271929432175187
B3-Layer,identity,2,-0.0028177513353971587
B3-Layer,identity,3,-0.006772942005322194
B3-Layer,identity,4,0.0031692105872438165
B3-Layer,identity,5,-0.006372487823991607
B3-Layer,identity,6,0.0741408795334033
B3-Layer,identity,7,-0.029778716902685232
B3-Layer,identity,8,-0.04994645410141607
B3-Layer,identity,9,0.05674973541227585
B3-Layer,identity,10,-0.036135880166488894
B3-Layer,identity,11,0.034447046282883906
B3-Layer,identity,12,0.06803771875989514
B3-Layer,identity,13,-0.0018423852653403087
B3-Layer,identity,14,-0.018120232073183522
B3-Layer,identity,15,0.00093593004009262
B3-Layer,identity,16,-0.04418033517208402
B3-Layer,identity,17,0.06660528602374621
B3-Layer,identity,18,0.0016444516537237166
B3-Layer,identity,19,-0.011879001092588182
B3-Layer,identity,20,0.06543447139059802
B3-Layer,identity,21,-0.00018368671526399174
B3-Layer,identity,22,0.07130739861363075
B3-Layer,identity,23,-0.05514842175507502
B3-Layer,identity,24,-0.0007823330114086539
B3-Layer,normal,0,-0.058909253051423104
B3-Layer,normal,1,-0.02504255019565035
B3-Layer,normal,2,-0.06973408576482547
B3-Layer,normal,3,-0.008959051998413688
B3-Layer,normal,4,0.0009575006190054013
B3-Layer,normal,5,0.018809803602677734
B3-Layer,normal,6,0.0016203292302115018
B3-Layer,normal,7,0.06762283861225134
B3-Layer,normal,8,0.006398456914637853
B3-Layer,normal,9,-0.06807260606446133
B3-Layer,normal,10,-0.02118638234094496
B3-Layer,normal,11,-0.07089549395551853
B3-Layer,normal,12,0.059582289926152526
B3-Layer,normal,13,-0.0137488890026017
B3-Layer,normal,14,-0.015108913513299285
B3-Layer,normal,15,-0.028778208138269014
B3-Layer,normal,16,0.0032720504824474976
B3-Layer,normal,17,0.016027452854233744
B3-Layer,normal,18,0.04157269763079574
B3-Layer,normal,19,0.009860734858270229
B3-Layer,normal,20,0.0019062741955008986
B3-Layer,normal,21,-0.04168154522381732
B3-Layer,normal,22,-0.043860005558774395
B3-Layer,normal,23,-0.03677518108258206
B3-Layer,normal,24,-0.005029915075725526
B5-ResQNet,uniform,0,8.925701148848005e-06
B5-ResQNet,uniform,1,-0.0008514669259924751
B5-ResQNet,uniform,2,5.46433977435741e-08
B5-ResQNet,uniform,3,0.00012383347722018457
B5-ResQNet,uniform,4,-0.0038307731303640555
B5-ResQNet,uniform,5,-0.0025944758530012696
B5-ResQNet,uniform,6,-0.0011868361311239382
B5-ResQNet,uniform,7,0.0005592128207446682
B5-ResQNet,uniform,8,4.4288674197726964e-05
B5-ResQNet,uniform,9,2.2031842053312087e-05
B5-ResQNet,uniform,10,-0.0010694645993806452
B5-ResQNet,uniform,11,-0.00011487332653660809
B5-ResQNet,uniform,12,-1.9825753349425795e-06
B5-ResQNet,uniform,13,-0.04743665025633056
B5-ResQNet,uniform,14,0.0206569898173924
B5-ResQNet,uniform,15,0.00012591324448784296
B5-ResQNet,uniform,16,-1.7185840880237242e-05
B5-ResQNet,uniform,17,-0.005820147071436271
B5-ResQNet,uniform,18,-0.012472683135658233
B5-ResQNet,uniform,19,0.00042675813526746976
B5-ResQNet,uniform,20,4.87433955576402e-05
B5-ResQNet,uniform,21,1.0038134136846778e-06
B5-ResQNet,uniform,22,-0.016443035192446387
B5-ResQNet,uniform,23,0.00014456108587721848
B5-ResQNet,uniform,24,0.0335722478391858
B5-ResQNet,narrow,0,-0.00012344975779172995
