model,theta,cost
B5-ResQNet,4.259787,0.05883688451101398
B5-ResQNet,4.366281,0.06256521451293266
B5-ResQNet,4.472776,0.06515156309207516
B5-ResQNet,4.579271,0.06649080619888949
B5-ResQNet,4.685765,0.06652841758529218
B5-ResQNet,4.79226,0.06526286505646897
B5-ResQNet,4.898755,0.0627456778168771
B5-ResQNet,5.005249,0.05907918188842586
B5-ResQNet,5.111744,0.054412005217263325
B5-ResQNet,5.218239,0.048932554140039476
B5-ResQNet,5.324733,0.04286075383736868
B5-ResQNet,5.431228,0.036438423159124746
B5-ResQNet,5.537723,0.029918715257012708
B5-ResQNet,5.644217,0.023555097052985786
B5-ResQNet,5.750712,0.01759036083494941
B5-ResQNet,5.857207,0.01224615929455993
B5-ResQNet,5.963701,0.007713531201114916
B5-ResQNet,6.070196,0.004144839735883204
B5-ResQNet,6.176691,0.00164748133860554
B5-ResQNet,6.283185,0.0002796426462725038
B6-Global,0.0,6.507829172405751e-10
B6-Global,0.106495,4.5355012431856896e-10
B6-Global,0.212989,5.49758518697563e-09
B6-Global,0.319484,1.7539747311815607e-08
B6-Global,0.425979,3.822504790396656e-08
B6-Global,0.532473,6.898750229120012e-08
B6-Global,0.638968,1.1095848192853053e-07
B6-Global,0.745463,1.648870130504428e-07
B6-Global,0.851957,2.3107594745248796e-07
B6-Global,0.958452,3.0933722971641183e-07
B6-Global,1.064947,3.989686342596937e-07
B6-Global,1.171441,4.987533834111757e-07
B6-Global,1.277936,6.069830276789855e-07
B6-Global,1.384431,7.215029179973088e-07
B6-Global,1.490925,8.39778574517454e-07
B6-Global,1.59742,9.589803038437546e-07
B6-Global,1.703915,1.076082579641718e-06
B6-Global,1.810409,1.1879740182283689e-06
B6-Global,1.916904,1.2915732821733175e-06
B6-Global,2.023399,1.3839459538219535e-06
B6-Global,2.129893,1.4624173504510395e-06
B6-Global,2.236388,1.5246764069218615e-06
B6-Global,2.342883,1.5688661236006151e-06
B6-Global,2.449377,1.5936566504995857e-06
B6-Global,2.555872,1.598297827547432e-06
B6-Global,2.662367,1.582648892183055e-06
B6-Global,2.768861,1.5471840592173377e-06
B6-Global,2.875356,1.4929737296448733e-06
B6-Global,2.981851,1.4216421477310442e-06
B6-Global,3.088345,1.3353033516375724e-06
B6-Global,3.19484,1.2364782061867221e-06
B6-Global,3.301335,1.1279961248616828e-06
B6-Global,3.407829,1.012885745246589e-06
B6-Global,3.514324,8.942592885018006e-07
B6-Global,3.620819,7.751955884623073e-07
B6-Global,3.727313,6.586268083403774e-07
B6-Global,3.833808,5.472336716766831e-07
B6-Global,3.940303,4.433536280307552e-07
B6-Global,4.046797,3.4890577153229586e-07
B6-Global,4.153292,2.653355592633981e-07
B6-Global,4.259787,1.9358147150125245e-07
B6-Global,4.366281,1.3406475814728307e-07
B6-Global,4.472776,8.670237035953164e-08
B6-Global,4.579271,5.094213073729243e-08
B6-Global,4.685765,2.58181966407706e-08
B6-Global,4.79226,1.0023964403095534e-08
B6-Global,4.898755,1.9987881919071235e-09
B6-Global,5.005249,2.4280912298098666e-11
B6-Global,5.111744,2.3255530154605167e-09
B6-Global,5.218239,7.172546741808009e-09
B6-Global,5.324733,1.2976646865136229e-08
B6-Global,5.431228,1.8377993037717688e-08
B6-Global,5.537723,2.231937198821103e-08
B6-Global,5.644217,2.4103209244410213e-08
B6-Global,5.750712,2.3428980355880758e-08
B6-Global,5.857207,2.040928419707397e-08
B6-Global,5.963701,1.5563823715013055e-08
B6-Global,6.070196,9.791576694899591e-09
B6-Global,6.176691,4.322463434401633e-09
B6-Global,6.283185,6.507829172404423e-10
B7-Glob96,0.0,0.00011925162088234371
B7-Glob96,0.106495,0.00012250143129131753
B7-Glob96,0.212989,0.00012335053681451067
B7-Glob96,0.319484,0.00012176420293478533
B7-Glob96,0.425979,0.00011780731186383772
B7-Glob96,0.532473,0.00011164150745848441
