model,theta1,theta2,cost
QCN,4.712389,6.021386,0.1654188840059142
QCN,4.974188,6.021386,0.17714679977573544
QCN,5.235988,6.021386,0.1898206420809898
QCN,5.497787,6.021386,0.20253958396650065
QCN,5.759587,6.021386,0.21426543530499012
QCN,6.021386,6.021386,0.2239393243182031
QCN,6.283185,6.021386,0.23062346427604666
QCN,0.0,6.283185,0.2076678130883508
QCN,0.261799,6.283185,0.21173101784558482
QCN,0.523599,6.283185,0.21460021308583266
QCN,0.785398,6.283185,0.2160398121234711
QCN,1.047198,6.283185,0.21592958752070504
QCN,1.308997,6.283185,0.2142787917310204
QCN,1.570796,6.283185,0.21122506010605394
