model,theta1,theta2,cost
QCN,1.308997,3.141593,0.19029226222931106
QCN,1.570796,3.141593,0.18655854407128555
QCN,1.832596,3.141593,0.18392319506658442
QCN,2.094395,3.141593,0.18252401329422482
QCN,2.356194,3.141593,0.18243121433309747
QCN,2.617994,3.141593,0.18364938145008305
QCN,2.879793,3.141593,0.1861176197117046
QCN,3.141593,3.141593,0.18970777853096057
QCN,3.403392,3.141593,0.19422245200640462
QCN,3.665191,3.141593,0.19939576920206858
QCN,3.926991,3.141593,0.20490031344701765
QCN,4.18879,3.141593,0.21036269997661086
QCN,4.45059,3.141593,0.21538855503344734
QCN,4.712389,3.141593,0.21959531912945082
QCN,4.974188,3.141593,0.22264905075441724
QCN,5.235988,3.141593,0.22429984654410165
QCN,5.497787,3.141593,0.22441007114686798
QCN,5.759587,3.141593,0.2229704721092298
QCN,6.021386,3.141593,0.2201012768689815
QCN,6.283185,3.141593,0.21603807211174775
QCN,0.0,3.403392,0.1773785253943406
QCN,0.261799,3.403392,0.17431147127347912
QCN,0.523599,3.403392,0.172927025180541
QCN,0.785398,3.403392,0.17328226746445793
QCN,1.047198,3.403392,0.1753598108505565
QCN,1.308997,3.403392,0.17906715743201895
QCN,1.570796,3.403392,0.18422985043441356
QCN,1.832596,3.403392,0.1905824114674203
QCN,2.094395,3.403392,0.1977632948632483
QCN,2.356194,3.403392,0.20532040264983917
QCN,2.617994,3.403392,0.21273190852033919
QCN,2.879793,3.403392,0.21944364735612384
QCN,3.141593,3.403392,0.2249200324787911
QCN,3.403392,3.403392,0.22870150668634756
QCN,3.665191,3.403392,0.23045899789222388
QCN,3.926991,3.403392,0.23003546861073473
QCN,4.18879,3.403392,0.2274666035624073
QCN,4.45059,3.403392,0.22297654989667712
QCN,4.712389,3.403392,0.21694949011911582
QCN,4.974188,3.403392,0.20988250899941427
QCN,5.235988,3.403392,0.20232858049064836
QCN,5.497787,3.403392,0.1948397597016294
QCN,5.759587,3.403392,0.18791957549335825
QCN,6.021386,3.403392,0.18199054374184132
QCN,6.283185,3.403392,0.17737852539434065
QCN,0.0,3.665191,0.13417299104047073
QCN,0.261799,3.665191,0.13268053268232904
QCN,0.523599,3.665191,0.13403225074647016
QCN,0.785398,3.665191,0.1382260177160102
QCN,1.047198,3.665191,0.1452430856869922
QCN,1.308997,3.665191,0.15497780807219536
QCN,1.570796,3.665191,0.16714501343041374
QCN,1.832596,3.665191,0.18119809198712253
QCN,2.094395,3.665191,0.19629053307995958
QCN,2.356194,3.665191,0.21130382195451877
