model,init_strategy,seed,gradient
Layerwise,identity,14,-0.002292505984121769
Layerwise,identity,15,0.0029810419567114096
Layerwise,identity,16,-0.001980482583214059
Layerwise,identity,17,0.0033727868535380285
Layerwise,identity,18,0.011323496987651631
Layerwise,identity,19,-0.001744120435276315
Layerwise,identity,20,0.0033327400308574948
Layerwise,identity,21,-0.0012225178862950402
Layerwise,identity,22,0.04340321893835362
Layerwise,identity,23,-0.005426826691206856
Layerwise,identity,24,0.0006322152449591349
Layerwise,normal,0,-0.0016666319757357344
Layerwise,normal,1,0.000417540816136152
Layerwise,normal,2,0.000942892354213158
Layerwise,normal,3,0.00032216057377018674
Layerwise,normal,4,-0.0005763503816861644
Layerwise,normal,5,0.0006328471829049134
Layerwise,normal,6,-0.0018886240355757158
Layerwise,normal,7,-0.000746342464091583
Layerwise,normal,8,0.0002666096347962204
Layerwise,normal,9,8.165625796816025e-05
Layerwise,normal,10,4.7309304488984133e-05
Layerwise,normal,11,-4.899582021434057e-05
Layerwise,normal,12,-0.00012892060565529418
Layerwise,normal,13,-0.0002338321773567634
Layerwise,normal,14,0.00014135871489381085
Layerwise,normal,15,-0.00017963727658894715
Layerwise,normal,16,-2.9332138023525602e-05
Layerwise,normal,17,0.00012778940389568408
Layerwise,normal,18,0.000717633071011793
Layerwise,normal,19,-0.0008787905423657072
Layerwise,normal,20,-0.0005741788887838365
Layerwise,normal,21,0.0002167561146658862
Layerwise,normal,22,0.0009797759931119423
Layerwise,normal,23,-0.0009209793491942477
Layerwise,normal,24,2.1143762530265405e-05
ResQNet,uniform,0,-4.406341363639218e-05
ResQNet,uniform,1,2.3304442131546278e-07
ResQNet,uniform,2,1.6165200366472026e-05
ResQNet,uniform,3,-0.0016525985565226246
ResQNet,uniform,4,0.00021082972003099451
ResQNet,uniform,5,0.00017649916903131994
ResQNet,uniform,6,0.0008466958710776135
ResQNet,uniform,7,-9.083386047207025e-05
ResQNet,uniform,8,0.00020648362388979945
ResQNet,uniform,9,0.0003795264866321309
ResQNet,uniform,10,0.0013485918202596806
ResQNet,uniform,11,-8.539856265615935e-06
ResQNet,uniform,12,0.00023825836485617672
ResQNet,uniform,13,-3.451210914402691e-05
ResQNet,uniform,14,0.00030179968069745316
ResQNet,uniform,15,-3.261620873296484e-05
ResQNet,uniform,16,0.00013397815890169945
ResQNet,uniform,17,-7.524539318760197e-06
ResQNet,uniform,18,0.00013627810309590826
ResQNet,uniform,19,0.00023643699346848413
ResQNet,uniform,20,-3.7598520232434085e-05
ResQNet,uniform,21,0.0001372506699788064
ResQNet,uniform,22,9.597511461998108e-06
ResQNet,uniform,23,0.00010908334685376744
ResQNet,uniform,24,-0.0006753599331617469
ResQNet,narrow,0,1.4981374778337766e-05
ResQNet,narrow,1,7.808752148296208e-06
ResQNet,narrow,2,-1.572396242820746e-05
ResQNet,narrow,3,0.0008172667180934563
ResQNet,narrow,4,-2.8507329569578615e-05
ResQNet,narrow,5,0.0018608881427818274
ResQNet,narrow,6,-9.112484661094268e-06
ResQNet,narrow,7,6.455555889662105e-05
ResQNet,narrow,8,-0.00023617633501122026
ResQNet,narrow,9,0.0004383265361279752
ResQNet,narrow,10,-5.0599165102714115e-05
ResQNet,narrow,11,8.899236626985022e-05
ResQNet,narrow,12,0.000602474571705217
ResQNet,narrow,13,0.00011812932250444823
ResQNet,narrow,14,-0.00014377078349548576
ResQNet,narrow,15,0.00034401809354754804
ResQNet,narrow,16,0.0002835460225719676
ResQNet,narrow,17,-0.00014900619435377976
ResQNet,narrow,18,-0.00011803944806708384
ResQNet,narrow,19,-5.128685891480904e-05
ResQNet,narrow,20,6.165154380372068e-06
ResQNet,narrow,21,-0.00025720004223132094
ResQNet,narrow,22,5.259031895600332e-07
ResQNet,narrow,23,0.00019726957285048306
ResQNet,narrow,24,-3.5027538444194915e-07
ResQNet,identity,0,2.0823629945187043e-06
ResQNet,identity,1,1.9587209599599804e-06
ResQNet,identity,2,-8.307552524807021e-07
ResQNet,identity,3,-3.534224698254009e-07
ResQNet,identity,4,-2.3593007677917293e-06
ResQNet,identity,5,-3.12438974327905e-06
ResQNet,identity,6,-5.832152643352511e-09
ResQNet,identity,7,-9.520430522601866e-07
ResQNet,identity,8,-4.746839278012081e-07
ResQNet,identity,9,-1.1539703342336587e-06
ResQNet,identity,10,-2.7810921054486276e-08
ResQNet,identity,11,2.8177794706372705e-06
ResQNet,identity,12,1.2157785638328864e-06
ResQNet,identity,13,2.18799619161286e-07
ResQNet,identity,14,-1.0597960596367767e-06
ResQNet,identity,15,6.397487533859401e-06
ResQNet,identity,16,3.3104557464155715e-10
ResQNet,identity,17,2.199034135553114e-07
ResQNet,identity,18,1.7051136334899813e-08
ResQNet,identity,19,6.212139056252533e-08
ResQNet,identity,20,-5.2496450749777134e-08
ResQNet,identity,21,-5.027367276123649e-06
ResQNet,identity,22,3.8298662420669864e-06
ResQNet,identity,23,6.279925065821962e-07
ResQNet,identity,24,6.406918243636811e-07
ResQNet,normal,0,0.00018378259625538262
ResQNet,normal,1,0.0005737268455752627
ResQNet,normal,2,7.425478622749841e-05
ResQNet,normal,3,-6.142599185366947e-05
ResQNet,normal,4,-0.00014657515796863275
ResQNet,normal,5,-3.8534436428821184e-05
ResQNet,normal,6,5.945798674564238e-05
ResQNet,normal,7,-9.044962614146577e-05
ResQNet,normal,8,-4.9063379278548544e-05
ResQNet,normal,9,3.303525158937179e-05
ResQNet,normal,10,-0.0004928808234382227
ResQNet,normal,11,-0.00012682720569669867
ResQNet,normal,12,1.1733768654508232e-05
ResQNet,normal,13,-0.0002142301025985999
ResQNet,normal,14,-3.047310945677632e-05
ResQNet,normal,15,-7.89357224543591e-05
ResQNet,normal,16,-1.1944184645246326e-05
ResQNet,normal,17,-0.00038896547441633755
ResQNet,normal,18,-0.0002022504150230847
ResQNet,normal,19,-4.436078714156466e-05
ResQNet,normal,20,4.9321940426846827e-05
ResQNet,normal,21,2.3258131401051776e-05
ResQNet,normal,22,1.0465592781019585e-05
ResQNet,normal,23,0.0003307788443482134
ResQNet,normal,24,-0.00026815816976489626
Global,uniform,0,-6.948292968648343e-05
Global,uniform,1,0.0001863898008142516
Global,uniform,2,-0.00035164765604321434
Global,uniform,3,0.00019773584059889677
Global,uniform,4,-8.211238561764303e-05
Global,uniform,5,0.000507489385511471
Global,uniform,6,-0.00048467646807272307
Global,uniform,7,8.466687328127412e-06
Global,uniform,8,0.0002402568926044149
Global,uniform,9,-0.00015191247531317595
Global,uniform,10,3.0228403524207984e-05
Global,uniform,11,0.0014210967771725832
Global,uniform,12,3.774147803722501e-05
Global,uniform,13,-0.0003131595998041686
